X_Latitude,Y_Longitude,Moisture,pH,Temperature,Offset
0,0,3,7,43,5
1,0,3,5.9,43,5
2,0,3,7.5,43,5
3,0,3,7,43,5
4,0,3,7,43,5
5,0,3,7,43,5
0,1,3,7,43,5
1,1,3,7.7,43,5
2,1,3,7.7,43,5
3,1,3,9.1,43,5
4,1,3,6.1,43,5
5,1,3,6.1,43,5
0,2,3,7,43,5
1,2,3,6.8,41,5
2,2,3,7,43,5
3,2,3,7,43,5
4,2,3,7,43,5
5,2,3,7,43,5
0,3,3,7,43,5
1,3,3,7.6,43,5
2,3,3,7.8,43,5
3,3,3,7.4,43,5
4,3,6,7.4,43,5
5,3,6,7.4,43,5
0,4,6,7.4,43,5
1,4,6,7.4,43,5
2,4,6,7.4,43,5
3,4,6,7.4,43,5
4,4,6,7.4,43,5
5,4,6,7.4,43,5
0,5,6,7.4,43,5
1,5,6,7.4,43,5
2,5,6,7.4,43,5
3,5,6,7.4,43,5
4,5,6,7.4,43,5
5,5,6,7.4,43,5
0,6,6,7.4,43,5
1,6,6,7.4,43,5
2,6,6,7.4,43,5
3,6,6,7.4,43,5
4,6,6,7.4,43,5
5,6,6,7.4,43,5
